"Game Title";"Console";"Year";"Genre";"Game_Company";"Type";"Console_Company";"Console Release Year";"Console Disco Year";"Consoles sold (million)";"North America_Sales";"Europe_Sales";"Japan_Sales";"Global_Sales"
"Wii Sports";"Nintendo Wii";2006;"Sports";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Super Mario Bros.";"Nintendo NES";1985;"Platform";"Nintendo";"Home";"Nintendo";1983;2003;61.91;29.08;3.58;6.81;40.24
"Mario Kart Wii";"Nintendo Wii";2008;"Racing";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Wii Sports Resort";"Nintendo Wii";2009;"Sports";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Pokemon Red/Pokemon Blue";"Gameboy";1996;"Role-Playing";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Tetris";"Gameboy";1989;"Puzzle";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"New Super Mario Bros.";"Nintendo DS";2006;"Platform";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Wii Play";"Nintendo Wii";2006;"Misc";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"New Super Mario Bros. Wii";"Nintendo Wii";2009;"Platform";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Duck Hunt";"Nintendo NES";1984;"Shooter";"Nintendo";"Home";"Nintendo";1983;2003;61.91;29.08;3.58;6.81;40.24
"Nintendogs";"Nintendo DS";2005;"Simulation";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Mario Kart DS";"Nintendo DS";2005;"Racing";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Pokemon Gold/Pokemon Silver";"Gameboy";1999;"Role-Playing";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Wii Fit";"Nintendo Wii";2007;"Sports";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Wii Fit Plus";"Nintendo Wii";2009;"Sports";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Kinect Adventures!";"XBOX 360";2010;"Misc";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Grand Theft Auto V";"PS3";2013;"Action";"Take-Two Interactive";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Grand Theft Auto: San Andreas";"PS2";2004;"Action";"Take-Two Interactive";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Super Mario World";"Super Nintendo";1990;"Platform";"Nintendo";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"Brain Age: Train Your Brain in Minutes a Day";"Nintendo DS";2005;"Misc";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Pokemon Diamond/Pokemon Pearl";"Nintendo DS";2006;"Role-Playing";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Super Mario Land";"Gameboy";1989;"Platform";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Super Mario Bros. 3";"Nintendo NES";1988;"Platform";"Nintendo";"Home";"Nintendo";1983;2003;61.91;29.08;3.58;6.81;40.24
"Grand Theft Auto V";"XBOX 360";2013;"Action";"Take-Two Interactive";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Grand Theft Auto: Vice City";"PS2";2002;"Action";"Take-Two Interactive";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Pokemon Black/Pokemon White";"Nintendo DS";2010;"Role-Playing";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Brain Age 2: More Training in Minutes a Day";"Nintendo DS";2005;"Puzzle";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Gran Turismo 3: A-Spec";"PS2";2001;"Racing";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Call of Duty: Modern Warfare 3";"XBOX 360";2011;"Shooter";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Pokémon Yellow: Special Pikachu Edition";"Gameboy";1998;"Role-Playing";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Call of Duty: Black Ops";"XBOX 360";2010;"Shooter";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Pokemon X/Pokemon Y";"Nintendo 3DS";2013;"Role-Playing";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Call of Duty: Black Ops 3";"PS4";2015;"Shooter";"Activision";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Call of Duty: Black Ops II";"PS3";2012;"Shooter";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Call of Duty: Black Ops II";"XBOX 360";2012;"Shooter";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Call of Duty: Modern Warfare 2";"XBOX 360";2009;"Shooter";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Call of Duty: Modern Warfare 3";"PS3";2011;"Shooter";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Grand Theft Auto III";"PS2";2001;"Action";"Take-Two Interactive";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Super Smash Bros. Brawl";"Nintendo Wii";2008;"Fighting";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Call of Duty: Black Ops";"PS3";2010;"Shooter";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Animal Crossing: Wild World";"Nintendo DS";2005;"Simulation";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Mario Kart 7";"Nintendo 3DS";2011;"Racing";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Halo 3";"XBOX 360";2007;"Shooter";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Grand Theft Auto V";"PS4";2014;"Action";"Take-Two Interactive";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Pokemon HeartGold/Pokemon SoulSilver";"Nintendo DS";2009;"Action";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Super Mario 64";"Nintendo 64";1996;"Platform";"Nintendo";"Home";"Nintendo";1996;2002;32.93;6.91;2.85;1.91;11.89
"Gran Turismo 4";"PS2";2004;"Racing";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Super Mario Galaxy";"Nintendo Wii";2007;"Platform";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Pokemon Omega Ruby/Pokemon Alpha Sapphire";"Nintendo 3DS";2014;"Role-Playing";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Super Mario Land 2: 6 Golden Coins";"Gameboy";1992;"Adventure";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Grand Theft Auto IV";"XBOX 360";2008;"Action";"Take-Two Interactive";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Gran Turismo";"PS";1997;"Racing";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Super Mario 3D Land";"Nintendo 3DS";2011;"Platform";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Gran Turismo 5";"PS3";2010;"Racing";"Sony Computer Entertainment";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Call of Duty: Modern Warfare 2";"PS3";2009;"Shooter";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Grand Theft Auto IV";"PS3";2008;"Action";"Take-Two Interactive";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Super Mario All-Stars";"Super Nintendo";1993;"Platform";"Nintendo";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"Super Mario 64";"Nintendo DS";2004;"Platform";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Just Dance 3";"Nintendo Wii";2011;"Misc";"Ubisoft";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Call of Duty: Ghosts";"XBOX 360";2013;"Shooter";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Halo: Reach";"XBOX 360";2010;"Shooter";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Mario Kart 64";"Nintendo 64";1996;"Racing";"Nintendo";"Home";"Nintendo";1996;2002;32.93;6.91;2.85;1.91;11.89
"New Super Mario Bros. 2";"Nintendo 3DS";2012;"Platform";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Halo 4";"XBOX 360";2012;"Shooter";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Final Fantasy VII";"PS";1997;"Role-Playing";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Call of Duty: Ghosts";"PS3";2013;"Shooter";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Just Dance 2";"Nintendo Wii";2010;"Misc";"Ubisoft";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Gran Turismo 2";"PS";1999;"Racing";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Call of Duty 4: Modern Warfare";"XBOX 360";2007;"Shooter";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Donkey Kong Country";"Super Nintendo";1994;"Platform";"Nintendo";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"Minecraft";"XBOX 360";2013;"Misc";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Animal Crossing: New Leaf";"Nintendo 3DS";2012;"Simulation";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Mario Party DS";"Nintendo DS";2007;"Misc";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"The Elder Scrolls V: Skyrim";"XBOX 360";2011;"Role-Playing";"Bethesda Softworks";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Super Mario Kart";"Super Nintendo";1992;"Racing";"Nintendo";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"FIFA 16";"PS4";2015;"Sports";"Electronic Arts";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Wii Party";"Nintendo Wii";2010;"Misc";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Halo 2";"XBOX";2004;"Shooter";"Microsoft Game Studios";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Mario Party 8";"Nintendo Wii";2007;"Misc";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Pokemon Black 2/Pokemon White 2";"Nintendo DS";2012;"Role-Playing";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"FIFA Soccer 13";"PS3";2012;"Action";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"GoldenEye 007";"Nintendo 64";1997;"Shooter";"Nintendo";"Home";"Nintendo";1996;2002;32.93;6.91;2.85;1.91;11.89
"Mario & Sonic at the Olympic Games";"Nintendo Wii";2007;"Sports";"Sega";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Final Fantasy X";"PS2";2001;"Role-Playing";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Final Fantasy VIII";"PS";1999;"Role-Playing";"SquareSoft";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Pokémon Platinum Version";"Nintendo DS";2008;"Role-Playing";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Pac-Man";"Atari 2600";1982;"Puzzle";"Atari";"Home";"Atari";1977;1992;30.0;7.28;0.45;0.0;7.81
"Grand Theft Auto: Liberty City Stories";"PSP";2005;"Action";"Take-Two Interactive";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Super Mario Galaxy 2";"Nintendo Wii";2010;"Platform";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Star Wars Battlefront (2015)";"PS4";2015;"Shooter";"Electronic Arts";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Call of Duty: Advanced Warfare";"PS4";2014;"Shooter";"Activision";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"The Legend of Zelda: Ocarina of Time";"Nintendo 64";1998;"Action";"Nintendo";"Home";"Nintendo";1996;2002;32.93;6.91;2.85;1.91;11.89
"Crash Bandicoot 2: Cortex Strikes Back";"PS";1997;"Platform";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Super Mario Bros. 2";"Nintendo NES";1988;"Platform";"Nintendo";"Home";"Nintendo";1983;2003;61.91;29.08;3.58;6.81;40.24
"Super Smash Bros. for Wii U and 3DS";"Nintendo 3DS";2014;"Fighting";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Call of Duty: World at War";"XBOX 360";2008;"Shooter";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Battlefield 3";"XBOX 360";2011;"Shooter";"Electronic Arts";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"The Legend of Zelda: Twilight Princess";"Nintendo Wii";2006;"Action";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Call of Duty: Black Ops 3";"XBOX One";2015;"Shooter";"Activision";"Home";"Microsoft";2013;2020;58.5;4.52;2.09;0.01;7.3
"Just Dance";"Nintendo Wii";2009;"Misc";"Ubisoft";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Battlefield 3";"PS3";2011;"Shooter";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Need for Speed Underground";"PS2";2003;"Racing";"Electronic Arts";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Tekken 3";"PS";1998;"Fighting";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Crash Bandicoot 3: Warped";"PS";1998;"Platform";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Super Smash Bros. Melee";"Nintendo GameCube";2001;"Fighting";"Nintendo";"Home";"Nintendo";2001;2007;21.74;4.41;1.04;1.39;7.07
"Mario Kart 8";"Nintendo WiiU";2014;"Racing";"Nintendo";"Home";"Nintendo";2012;2017;13.56;3.13;2.07;1.27;6.96
"Fallout 4";"PS4";2015;"Role-Playing";"Bethesda Softworks";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Mario Kart: Double Dash!!";"Nintendo GameCube";2003;"Racing";"Nintendo";"Home";"Nintendo";2001;2007;21.74;4.41;1.04;1.39;7.07
"Just Dance 4";"Nintendo Wii";2012;"Misc";"Ubisoft";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"FIFA 14";"PS3";2013;"Sports";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Need for Speed Underground 2";"PS2";2004;"Racing";"Electronic Arts";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Medal of Honor: Frontline";"PS2";2002;"Shooter";"Electronic Arts";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Uncharted 3: Drake's Deception";"PS3";2011;"Action";"Sony Computer Entertainment";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Crash Bandicoot";"PS";1996;"Platform";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Zumba Fitness";"Nintendo Wii";2010;"Sports";"505 Games";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Gears of War 2";"XBOX 360";2008;"Shooter";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Uncharted 2: Among Thieves";"PS3";2009;"Action";"Sony Computer Entertainment";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Call of Duty 4: Modern Warfare";"PS3";2007;"Shooter";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"FIFA 12";"PS3";2011;"Sports";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Big Brain Academy";"Nintendo DS";2005;"Misc";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Red Dead Redemption";"PS3";2010;"Action";"Take-Two Interactive";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"FIFA 15";"PS4";2014;"Sports";"Electronic Arts";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Donkey Kong Country Returns";"Nintendo Wii";2010;"Platform";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"The Elder Scrolls V: Skyrim";"PS3";2011;"Role-Playing";"Bethesda Softworks";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"The Legend of Zelda";"Nintendo NES";1986;"Action";"Nintendo";"Home";"Nintendo";1983;2003;61.91;29.08;3.58;6.81;40.24
"Assassin's Creed III";"PS3";2012;"Action";"Ubisoft";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Halo: Combat Evolved";"XBOX";2001;"Shooter";"Microsoft Game Studios";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Kingdom Hearts";"PS2";2002;"Role-Playing";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Pokémon Crystal Version";"Gameboy";2000;"Role-Playing";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Halo 3: ODST";"XBOX 360";2009;"Shooter";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Red Dead Redemption";"XBOX 360";2010;"Action";"Take-Two Interactive";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Super Mario Sunshine";"Nintendo GameCube";2002;"Platform";"Nintendo";"Home";"Nintendo";2001;2007;21.74;4.41;1.04;1.39;7.07
"Street Fighter II: The World Warrior";"Super Nintendo";1992;"Fighting";"Capcom";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"Driver";"PS";1999;"Action";"GT Interactive";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Kinect Sports";"XBOX 360";2010;"Sports";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Gears of War 3";"XBOX 360";2011;"Shooter";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Gears of War";"XBOX 360";2006;"Shooter";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Metal Gear Solid 2: Sons of Liberty";"PS2";2001;"Action";"Konami Digital Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Sonic the Hedgehog 2";"Sega Genesis";1992;"Platform";"Sega";"Home";"Sega";1988;1997;30.75;4.47;1.2;0.16;6.03
"Metal Gear Solid 4: Guns of the Patriots";"PS3";2008;"Action";"Konami Digital Entertainment";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Metal Gear Solid";"PS";1998;"Action";"Konami Digital Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"The Last of Us";"PS3";2013;"Action";"Sony Computer Entertainment Europe";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Final Fantasy XII";"PS2";2006;"Role-Playing";"Square Enix";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"LittleBigPlanet";"PS3";2008;"Platform";"Sony Computer Entertainment";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Dragon Quest IX: Sentinels of the Starry Skies";"Nintendo DS";2009;"Role-Playing";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"LEGO Star Wars: The Complete Saga";"Nintendo Wii";2007;"Action";"LucasArts";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Resident Evil 2";"PS";1998;"Action";"Virgin Interactive";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Tekken 2";"PS";1996;"Fighting";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Cooking Mama";"Nintendo DS";2006;"Simulation";"505 Games";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Destiny";"PS4";2014;"Shooter";"Activision";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Tetris";"Nintendo NES";1988;"Puzzle";"Nintendo";"Home";"Nintendo";1983;2003;61.91;29.08;3.58;6.81;40.24
"Assassin's Creed II";"PS3";2009;"Action";"Ubisoft";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Super Smash Bros.";"Nintendo 64";1999;"Fighting";"Nintendo";"Home";"Nintendo";1996;2002;32.93;6.91;2.85;1.91;11.89
"Assassin's Creed";"XBOX 360";2007;"Adventure";"Ubisoft";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Batman: Arkham City";"PS3";2011;"Action";"Warner Bros. Interactive Entertainment";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Forza Motorsport 3";"XBOX 360";2009;"Racing";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Monster Hunter Freedom Unite";"PSP";2008;"Role-Playing";"Capcom";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Pokemon Stadium";"Nintendo 64";1999;"Strategy";"Nintendo";"Home";"Nintendo";1996;2002;32.93;6.91;2.85;1.91;11.89
"Call of Duty: World at War";"PS3";2008;"Shooter";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Crash Bandicoot: The Wrath of Cortex";"PS2";2001;"Platform";"Universal Interactive";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Minecraft";"PS3";2014;"Misc";"Sony Computer Entertainment";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Final Fantasy XIII";"PS3";2009;"Role-Playing";"Square Enix";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Dr. Mario";"Gameboy";1989;"Puzzle";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Pokemon Pinball";"Gameboy";1999;"Misc";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Assassin's Creed III";"XBOX 360";2012;"Action";"Ubisoft";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Final Fantasy IX";"PS";2000;"Role-Playing";"SquareSoft";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Final Fantasy X-2";"PS2";2003;"Role-Playing";"Electronic Arts";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Donkey Kong 64";"Nintendo 64";1999;"Platform";"Nintendo";"Home";"Nintendo";1996;2002;32.93;6.91;2.85;1.91;11.89
"Assassin's Creed II";"XBOX 360";2009;"Action";"Ubisoft";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Professor Layton and the Curious Village";"Nintendo DS";2007;"Puzzle";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Tomb Raider II";"PS";1997;"Action";"Eidos Interactive";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Dragon Quest VIII: Journey of the Cursed King";"PS2";2004;"Role-Playing";"Square Enix";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"New Super Mario Bros. U";"Nintendo WiiU";2012;"Platform";"Nintendo";"Home";"Nintendo";2012;2017;13.56;3.13;2.07;1.27;6.96
"Super Mario Land 3: Wario Land";"Gameboy";1994;"Platform";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"FIFA Soccer 13";"XBOX 360";2012;"Action";"Electronic Arts";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"The Legend of Zelda: Phantom Hourglass";"Nintendo DS";2007;"Action";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Donkey Kong Country 2: Diddy's Kong Quest";"Super Nintendo";1995;"Platform";"Nintendo";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"Tomodachi Life";"Nintendo 3DS";2013;"Simulation";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Mario & Sonic at the Olympic Games";"Nintendo DS";2008;"Sports";"Sega";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Medal of Honor: Rising Sun";"PS2";2003;"Shooter";"Electronic Arts";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Kirby's Dream Land";"Gameboy";1992;"Platform";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Fable III";"XBOX 360";2010;"Role-Playing";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Call of Duty: Advanced Warfare";"XBOX One";2014;"Shooter";"Activision";"Home";"Microsoft";2013;2020;58.5;4.52;2.09;0.01;7.3
"Guitar Hero II";"PS2";2006;"Misc";"RedOctane";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Resident Evil 5";"PS3";2009;"Action";"Capcom";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Grand Theft Auto V";"XBOX One";2014;"Action";"Take-Two Interactive";"Home";"Microsoft";2013;2020;58.5;4.52;2.09;0.01;7.3
"Grand Theft Auto: Vice City Stories";"PSP";2006;"Action";"Take-Two Interactive";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"FIFA Soccer 11";"PS3";2010;"Sports";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
