"Game Title";"Console";"Year";"Genre";"Game_Company";"Type";"Console_Company";"Console Release Year";"Console Disco Year";"Consoles sold (million)";"North America_Sales";"Europe_Sales";"Japan_Sales";"Global_Sales"
"Conan";"XBOX 360";2007;"Action";"THQ";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Warriors Orochi";"XBOX 360";2007;"Action";"Tecmo Koei";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"MC Groovz Dance Craze";"Nintendo GameCube";2004;"Misc";"Mad Catz";"Home";"Nintendo";2001;2007;21.74;4.41;1.04;1.39;7.07
"The Thing";"XBOX";2002;"Adventure";"Vivendi Games";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Tom and Jerry in House Trap";"PS";2000;"Action";"Ubisoft";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"101-in-1 Explosive Megamix";"Nintendo DS";2008;"Puzzle";"Nordcurrent";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"X-Men Origins: Wolverine";"Nintendo DS";2009;"Action";"Activision";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Jikkyou Powerful Pro Yakyuu 2011";"PSP";2011;"Sports";"Konami Digital Entertainment";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan";"Nintendo DS";2006;"Misc";"Shogakukan";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Baldur's Gate: Dark Alliance";"XBOX";2002;"Role-Playing";"Virgin Interactive";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Family Guy";"PSP";2006;"Action";"Take-Two Interactive";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Prince of Persia: Warrior Within";"Nintendo GameCube";2004;"Action";"Ubisoft";"Home";"Nintendo";2001;2007;21.74;4.41;1.04;1.39;7.07
"UFC: Tapout";"XBOX";2002;"Fighting";"Crave Entertainment";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Aikatsu! Cinderella Lesson";"Nintendo 3DS";2012;"Role-Playing";"Namco Bandai Games";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Marvel Super Hero Squad: Comic Combat";"Nintendo Wii";2011;"Action";"THQ";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Mega Man Legacy Collection";"Nintendo 3DS";2016;"Platform";"Capcom";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Predator: Concrete Jungle";"PS2";2005;"Action";"Vivendi Games";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Beyblade: Metal Fusion - Battle Fortress";"Nintendo Wii";2009;"Action";"Konami Digital Entertainment";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"WipeOut 3 The Game";"Nintendo 3DS";2012;"Action";"Activision";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
